2022-01-05 11:28:56,221 INFO    MainThread:12404 [wandb_setup.py:_flush():71] setting env: {}
2022-01-05 11:28:56,222 INFO    MainThread:12404 [wandb_setup.py:_flush():71] setting login settings: {}
2022-01-05 11:28:56,222 INFO    MainThread:12404 [wandb_setup.py:_flush():71] setting login settings: {'api_key': '***REDACTED***'}
2022-01-05 11:28:56,222 INFO    MainThread:12404 [wandb_init.py:_log_setup():371] Logging user logs to /home/liana/projects/fyp/notebooks/wandb/run-20220105_112856-30g1gtnx/logs/debug.log
2022-01-05 11:28:56,222 INFO    MainThread:12404 [wandb_init.py:_log_setup():372] Logging internal logs to /home/liana/projects/fyp/notebooks/wandb/run-20220105_112856-30g1gtnx/logs/debug-internal.log
2022-01-05 11:28:56,222 INFO    MainThread:12404 [wandb_init.py:_jupyter_setup():321] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f0f15065c40>
2022-01-05 11:28:56,223 INFO    MainThread:12404 [wandb_init.py:init():404] calling init triggers
2022-01-05 11:28:56,223 INFO    MainThread:12404 [wandb_init.py:init():409] wandb.init called with sweep_config: {}
config: {}
2022-01-05 11:28:56,223 INFO    MainThread:12404 [wandb_init.py:init():460] starting backend
2022-01-05 11:28:56,223 INFO    MainThread:12404 [backend.py:_multiprocessing_setup():99] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-01-05 11:28:56,949 INFO    MainThread:12404 [backend.py:ensure_launched():216] starting backend process...
2022-01-05 11:28:57,099 INFO    MainThread:12404 [backend.py:ensure_launched():221] started backend process with pid: 13834
2022-01-05 11:28:57,103 INFO    MainThread:12404 [wandb_init.py:init():469] backend started and connected
2022-01-05 11:28:57,173 INFO    MainThread:12404 [wandb_run.py:_label_probe_notebook():911] probe notebook
2022-01-05 11:28:57,175 INFO    MainThread:12404 [wandb_run.py:_label_probe_notebook():921] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-01-05 11:28:57,175 INFO    MainThread:12404 [wandb_init.py:init():533] updated telemetry
2022-01-05 11:28:57,602 INFO    MainThread:12404 [wandb_init.py:init():563] communicating current version
2022-01-05 11:29:00,972 INFO    MainThread:12404 [wandb_init.py:init():568] got version response 
2022-01-05 11:29:00,972 INFO    MainThread:12404 [wandb_init.py:init():578] communicating run to backend with 30 second timeout
2022-01-05 11:29:01,453 INFO    MainThread:12404 [wandb_init.py:init():606] starting run threads in backend
2022-01-05 11:29:06,458 INFO    MainThread:12404 [wandb_run.py:_console_start():1810] atexit reg
2022-01-05 11:29:06,459 INFO    MainThread:12404 [wandb_run.py:_redirect():1684] redirect: SettingsConsole.WRAP
2022-01-05 11:29:06,459 INFO    MainThread:12404 [wandb_run.py:_redirect():1721] Wrapping output streams.
2022-01-05 11:29:06,461 INFO    MainThread:12404 [wandb_run.py:_redirect():1745] Redirects installed.
2022-01-05 11:29:06,461 INFO    MainThread:12404 [wandb_init.py:init():633] run started, returning control to user process
